ls|list directory contents
cd|change the current directory
pwd|show the current working directory
mkdir|create a new directory
rm|remove files or directories
rmdir|remove empty directories
mv|move or rename files or directories
cp|copy files or directories
touch|create an empty file or update file timestamps
cat|display file contents sequentially
less|view file contents one screen at a time
more|view file contents with forward scrolling
vi|open the vi text editor
vim|open the Vim text editor
nano|open the nano text editor
export|set or export environment variables
echo|display a line of text or variable value
stat|display detailed file or filesystem status
ln|create hard or symbolic links
grep|search text for matching patterns
reboot|reboot the system
update-grub|regenerate GRUB configuration files
grub2-mkconfig|generate a GRUB2 configuration file
systemctl|manage systemd services and units
shutdown|power off or halt the system
su|switch to another user account
rpm|fully manage packages on RedHat based distributions
yum|install or manage packages on RedHat based distributions, automatically handle dependencies, less modern
dnf|install or manage packages on RedHat based distributions, automatically handle dependencies, most modern
dpkg|fully manage packages on Debian based distributions
apt|install or manage packages on Debian based distributions, automatically handle dependencies, less modern
apt-get|install or manage packages on Debian based distributions, automatically handle dependencies, most modern
useradd|create a new user account
usermod|modify an existing user account
userdel|remove a user account
groupadd|create a new group
groupmod|modify an existing group
groupdel|delete a group
passwd|set or change a user password
groups|display group memberships for a user
lsblk|list block devices
fdisk|create or modify disk partitions
pvcreate|initialize a physical volume for LVM
vgcreate|create a volume group in LVM
lvcreate|create a logical volume in LVM
df|report filesystem disk space usage
du|estimate file or directory space usage
mount|mount a filesystem
mkfs|create a filesystem on a device
mkfs.ext3|create an ext3 filesystem
mkfs.ext4|create an ext4 filesystem
mke2fs|create an ext2 ext3 or ext4 filesystem
mkswap|create a swap space
swapon|enable swap space
swapoff|disable swap space
iostat|report CPU and disk I O statistics
quota|display user or group disk quotas
repquota|report disk quota usage for filesystems
edquota|edit user or group disk quotas
quotaon|enable disk quotas
quotaoff|disable disk quotas
chmod|change file or directory permissions
chown|change file or directory ownership
chgrp|change group ownership of a file or directory
umask|set default file creation permissions
setfacl|set file access control lists
getfacl|display file access control lists
tar|create or extract archive files
modprobe|load or unload kernel modules automatically
lsmod|list loaded kernel modules
rmmod|remove a kernel module
insmod|insert a kernel module
ps|list active processes
top|display real-time system processes and resource usage
fg|bring a background job to the foreground
bg|send a job to the background
kill|terminate processes by signal
ping|test network connectivity to a host
crontab|schedule or manage recurring tasks
journalctl|view systemd journal logs
uptime|show system uptime and load averages
git|manage source code with the Git version control system
logout|exit the current shell session
sudo|execute commands with elevated privileges
visudo|safely edit the sudoers configuration
